hotel,price,score,avg review,reviews count,address,date
Radisson Hotel Zurich Airport,CHF 173,"8.0
Scored 8.0",Very Good,"6,611",Rümlang,2024-05-25
"Radisson Blu, Basel",CHF 214,"8.1
Scored 8.1",Very Good,"1,468","Vorstädte, Basel",2024-05-25
Hillsite Smart Hotel Flims,CHF 151,"7.6
Scored 7.6",Good,"1,292",Flims,2024-05-25
Nash Suites Airport Hotel,CHF 126,"8.3
Scored 8.3",Very Good,"6,984",Geneva,2024-05-25
Centurion Swiss Quality Towerhotel,CHF 105,"8.5
Scored 8.5",Very Good,881,Brugg,2024-05-25
VISIONAPARTMENTS Basel Nauenstrasse - contactless check-in,CHF 133,"8.2
Scored 8.2",Very Good,"3,677",Basel,2024-05-25
"Crowne Plaza Zürich, an IHG Hotel",CHF 190,"7.6
Scored 7.6",Good,"5,510","Aussersihl, Zurich",2024-05-25
Guest House Le Charlot,CHF 134,"8.4
Scored 8.4",Very Good,"1,197",Vevey,2024-05-25
Hotel Schweizerhof Pontresina,CHF 203,"8.3
Scored 8.3",Very Good,847,Pontresina,2024-05-25
Hotel Bernina 1865,CHF 198,"8.3
Scored 8.3",Very Good,"2,342",Samedan,2024-05-25
ibis budget Lugano Paradiso,CHF 136,"7.1
Scored 7.1",Good,"4,027",Lugano,2024-05-25
Hotel Arte,CHF 303,"8.0
Scored 8.0",Very Good,"1,031",St. Moritz,2024-05-25
Motel One Zürich,CHF 212,"8.5
Scored 8.5",Very Good,"8,295","Zurich Old Town - City Center, Zurich",2024-05-25
"Hôtel Bellavista ""Bellevue""",CHF 88,"8.1
Scored 8.1",Very Good,432,Saignelégier,2024-05-25
Hotel & Restaurant Hofmatt,CHF 134,"8.1
Scored 8.1",Very Good,347,Münchenstein,2024-05-25
ibis Baar Zug,CHF 145,"7.5
Scored 7.5",Good,"1,103","Baar, Zug",2024-05-25
Dorint Airport-Hotel Zürich,CHF 162,"8.1
Scored 8.1",Very Good,"2,532",Glattbrugg,2024-05-25
Hotel Stern Chur,CHF 127,"8.3
Scored 8.3",Very Good,"1,192",Chur,2024-05-25
Swiss Diamond Hotel & Spa,CHF 359,"8.4
Scored 8.4",Very Good,"1,460",Morcote,2024-05-25
Hotel Rebstock - Self Check-in,CHF 117,"7.6
Scored 7.6",Good,614,Wolhusen,2024-05-25
The Chedi Andermatt,"CHF 2,020","9.2
Scored 9.2",Wonderful,"1,024",Andermatt,2024-05-25
Hotel Montana Zürich,CHF 255,"7.4
Scored 7.4",Good,"4,088","Escher Wyss, Zurich",2024-05-25
harry's home Zürich-Wallisellen,CHF 137,"8.1
Scored 8.1",Very Good,822,"Dübendorf, Wallisellen",2024-05-25
Hotel Bristol Zurich,CHF 270,"8.0
Scored 8.0",Very Good,"5,798","Zurich Old Town - City Center, Zurich",2024-05-25
Hotel Hirschen am See,CHF 137,"7.9
Scored 7.9",Good,"1,218",Meilen,2024-05-25
Hirschen Guesthouse - Village Hotel,CHF 150,"7.9
Scored 7.9",Good,290,Wildhaus,2024-05-25
Radisson Hotel & Suites Zurich,CHF 123,"8.2
Scored 8.2",Very Good,"2,559",Opfikon,2024-05-25
Wyna Motel,CHF 99,"8.1
Scored 8.1",Very Good,842,Neudorf,2024-05-25
Marina Walensee Hotel,CHF 132,"8.3
Scored 8.3",Very Good,944,Unterterzen,2024-05-25
Esos Hotel Quelle,CHF 121,"7.6
Scored 7.6",Good,"1,065",Bad Ragaz,2024-05-25
Budget rooms Pilatusbahn - Alpnachstad,CHF 108,"8.6
Scored 8.6",Excellent,371,Alpnachstad,2024-05-25
Hôtel de Ville,CHF 184,"8.3
Scored 8.3",Very Good,"1,218",Gruyères,2024-05-25
Boutique Hotel OchSen,CHF 185,"7.9
Scored 7.9",Good,"1,098",Bad Ragaz,2024-05-25
Hotel Schäfli,CHF 99,"8.4
Scored 8.4",Very Good,622,Uzwil,2024-05-25
Hotel Hine Adon Fribourg,CHF 151,"8.2
Scored 8.2",Very Good,"1,055",Fribourg,2024-05-25
Hotel Balsthal,CHF 121,"8.5
Scored 8.5",Very Good,905,Balsthal,2024-05-25
Hotel Berghof Amaranth,CHF 104,"8.2
Scored 8.2",Very Good,"2,507",Wilderswil,2024-05-25
Hotel Restaurant Bahnhof,CHF 89,"8.1
Scored 8.1",Very Good,672,Schüpfen,2024-05-25
Novotel Genève Centre,CHF 229,"8.0
Scored 8.0",Very Good,"2,806","Paquis, Geneva",2024-05-25
Swiss Quality Turmhotel Victoria,CHF 269,"8.1
Scored 8.1",Very Good,818,Davos,2024-05-25
Hotel Jungfraublick,CHF 206,"8.8
Scored 8.8",Excellent,"1,102",Wengen,2024-05-25
Courtyard by Marriott Basel,CHF 170,"7.8
Scored 7.8",Good,866,Pratteln,2024-05-25
flexymotel Buchs,CHF 116,"7.9
Scored 7.9",Good,"1,146",Buchs,2024-05-25
Bernerhof Swiss Quality Hotel,CHF 120,"9.1
Scored 9.1",Wonderful,399,Kandersteg,2024-05-25
J5 Hotels Helvetie & La Brasserie,CHF 204,"7.8
Scored 7.8",Good,"2,239","Montreux City Centre, Montreux",2024-05-25
Lac Hotel,CHF 212,"8.4
Scored 8.4",Very Good,969,Melide,2024-05-25
Hotel Hirschen Wildhaus,CHF 198,"8.0
Scored 8.0",Very Good,494,Wildhaus,2024-05-25
Osteria Ritrovo dei Passeggeri,CHF 108,"7.2
Scored 7.2",Good,449,SantʼAntonio,2024-05-25
B&B HOTEL Geneva Airport,CHF 103,"8.6
Scored 8.6",Excellent,"2,584",Geneva,2024-05-25
Hotel Bänklialp,CHF 152,"8.4
Scored 8.4",Very Good,662,Engelberg,2024-05-25
Hôtel des Horlogers,CHF 345,"9.4
Scored 9.4",Wonderful,344,Le Brassus,2024-05-25
Hôtel Ecureuil Villars,CHF 136,"8.1
Scored 8.1",Very Good,652,Villars-sur-Ollon,2024-05-25
Art Déco Hotel Elite,CHF 157,"7.6
Scored 7.6",Good,704,Biel,2024-05-25
Moxy Rapperswil,CHF 165,"8.5
Scored 8.5",Very Good,940,Rapperswil-Jona,2024-05-25
Ibis Lugano Paradiso,CHF 147,"7.7
Scored 7.7",Good,"1,889",Lugano,2024-05-25
Chalet Hotel Adler AG,CHF 122,"8.3
Scored 8.3",Very Good,865,Kandersteg,2024-05-25
Bern Youth Hostel,CHF 58,"8.4
Scored 8.4",Very Good,"2,736","Mattenhof-Weissenbühl, Bern",2024-05-25
Self Check-in Hotel von Rotz,CHF 124,"8.7
Scored 8.7",Excellent,"1,220",Wil,2024-05-25
Hotel Krone,CHF 221,"7.8
Scored 7.8",Good,595,Attinghausen,2024-05-25
Leonardo Hotel Zurich Airport,CHF 141,"8.5
Scored 8.5",Very Good,"8,168",Kloten,2024-05-25
Modern Studios Mendrisio,CHF 146,"9.0
Scored 9.0",Wonderful,486,Mendrisio,2024-05-25
"Holiday Inn Express & Suites - Basel - Allschwil, an IHG Hotel",CHF 129,"8.6
Scored 8.6",Excellent,"1,536","Allschwil, Basel",2024-05-25
Weisses Rössli,CHF 112,"7.6
Scored 7.6",Good,654,Leukerbad,2024-05-25
Adventure Hostel Interlaken,CHF 92,"8.6
Scored 8.6",Excellent,"1,312",Interlaken,2024-05-25
Ruby Mimi Hotel Zurich,CHF 273,"8.3
Scored 8.3",Very Good,"6,565","Zurich Old Town - City Center, Zurich",2024-05-25
b-smart hotel Menziken,CHF 150,"8.3
Scored 8.3",Very Good,283,Menziken,2024-05-25
Motel One Basel,CHF 143,"8.6
Scored 8.6",Excellent,"3,139","Old Town Grossbasel, Basel",2024-05-25
Hotel Concordia,CHF 131,"8.3
Scored 8.3",Very Good,555,Davos,2024-05-25
"Parkhotel Delta, Wellbeing Resort",CHF 231,"8.5
Scored 8.5",Very Good,846,Ascona,2024-05-25
Auberge de la Réunion,CHF 130,"8.6
Scored 8.6",Excellent,502,Coinsins,2024-05-25
Continental Hotel Lausanne,CHF 240,"7.9
Scored 7.9",Good,"2,831","Lausanne Center, Lausanne",2024-05-25
Hôtel Le White - Le 42 Restaurant,CHF 163,"8.8
Scored 8.8",Excellent,714,Champéry,2024-05-25
Boutique & Design Hotel Volkshaus Basel,CHF 320,"9.0
Scored 9.0",Wonderful,"1,169","Old Town Kleinbasel, Basel",2024-05-25
ibis Locarno,CHF 127,"8.2
Scored 8.2",Very Good,"2,149",Locarno,2024-05-25
Hotel Edelweiss,CHF 156,"8.5
Scored 8.5",Very Good,"1,243",Davos,2024-05-25
Hotel Rubus,CHF 104,"7.8
Scored 7.8",Good,451,Effretikon,2024-05-25
Hotel Liberty Self Check-In,CHF 134,"7.4
Scored 7.4",Good,"3,208",Bellinzona,2024-05-25
Everness Hotel & Resort,CHF 156,"8.3
Scored 8.3",Very Good,"1,962",Chavannes-de-Bogis,2024-05-25
LUGANODANTE - We like you,CHF 272,"9.2
Scored 9.2",Wonderful,"3,605","Lugano City-Centre, Lugano",2024-05-25
Hotel Europe,CHF 136,"7.6
Scored 7.6",Good,560,Davos,2024-05-25
Grichting Hotel & Serviced Apartments,CHF 101,"7.6
Scored 7.6",Good,"1,175",Leukerbad,2024-05-25
Hotel Sommerau,CHF 132,"8.2
Scored 8.2",Very Good,"1,256",Chur,2024-05-25
Campra Alpine Lodge & Spa,CHF 154,"8.8
Scored 8.8",Excellent,179,Olivone,2024-05-25
Hôtel Elite,CHF 125,"7.8
Scored 7.8",Good,883,Sion,2024-05-25
Alpine Hotel Perren,CHF 217,"8.6
Scored 8.6",Excellent,"1,426",Zermatt,2024-05-25
Hotel Internazionale Bellinzona,CHF 160,"8.3
Scored 8.3",Very Good,"1,482",Bellinzona,2024-05-25
ibis Basel Bahnhof,CHF 145,"8.1
Scored 8.1",Very Good,"3,405",Basel,2024-05-25
Happiness,CHF 62,"8.7
Scored 8.7",Excellent,328,Sirnach,2024-05-25
La Rouvenaz,CHF 204,"8.4
Scored 8.4",Very Good,"1,406","Montreux City Centre, Montreux",2024-05-25
Afterwork Hotel,CHF 152,"9.0
Scored 9.0",Wonderful,464,Etoy,2024-05-25
Grandhotel Giessbach,CHF 387,"8.8
Scored 8.8",Excellent,780,Brienz,2024-05-25
Alpenrose Hotel and Gardens,CHF 253,"8.5
Scored 8.5",Very Good,"1,329",Wilderswil,2024-05-25
Hotel Excelsior,CHF 174,"8.2
Scored 8.2",Very Good,435,Locarno,2024-05-25
Hotel Rosengärtli,CHF 162,"8.8
Scored 8.8",Excellent,572,Leissigen,2024-05-25
La Pierre à Catillon,CHF 138,"7.7
Scored 7.7",Good,444,Moleson,2024-05-25
Hotel Bernina Hospiz,CHF 56,"8.2
Scored 8.2",Very Good,814,Berninahäuser,2024-05-25
Kempinski Palace Engelberg,CHF 580,"9.4
Scored 9.4",Wonderful,767,Engelberg,2024-05-25
Sorell Hotel Krone,CHF 176,"9.0
Scored 9.0",Wonderful,"1,486",Winterthur,2024-05-25
