hotel,price,score,avg review,reviews count,address,date
Limmathof Baden - Boutique Haus & Spa,CHF 393,"8.7
Scored 8.7",Excellent,145,Ennetbaden,2024-05-25
B&B Restaurant Le Pernollet,CHF 112,"8.7
Scored 8.7",Excellent,222,Evionnaz,2024-05-25
Neuchâtel City Hôtel,CHF 114,"7.0
Scored 7.0",Good,"1,966",Neuchâtel,2024-05-25
Motel Steighof,CHF 94,"7.7
Scored 7.7",Good,785,Brütten,2024-05-25
E-Rooms Minusio,CHF 115,"7.3
Scored 7.3",Good,"2,807","Minusio, Locarno",2024-05-25
Novotel Lugano Paradiso,CHF 215,"8.2
Scored 8.2",Very Good,"2,164",Lugano,2024-05-25
"Holiday Inn Bern Westside, an IHG Hotel",CHF 208,"8.2
Scored 8.2",Very Good,"1,872",Bern,2024-05-25
Tertianum Residenza Hotel & Ristorante Al Parco,CHF 174,"8.4
Scored 8.4",Very Good,921,"Muralto, Locarno",2024-05-25
Scuol Youth Hostel,CHF 57,"8.5
Scored 8.5",Very Good,471,Scuol,2024-05-25
Hotel Ascona,CHF 175,"8.7
Scored 8.7",Excellent,467,Ascona,2024-05-25
Hôtel du Gd-St-Bernard,CHF 60,"8.0
Scored 8.0",Very Good,294,Liddes,2024-05-25
Hotel Drei Könige,CHF 88,"7.5
Scored 7.5",Good,"2,371",Chur,2024-05-25
Bernina Bed and Breakfast,CHF 132,"7.8
Scored 7.8",Good,724,Davos,2024-05-25
7rooms Losone,CHF 198,"8.0
Scored 8.0",Very Good,212,Losone,2024-05-25
Holidays Homes Il Folletto,CHF 117,"8.7
Scored 8.7",Excellent,188,Quartino,2024-05-25
Aparthotel Adagio Zurich City Center,CHF 303,"8.1
Scored 8.1",Very Good,"1,999","Unterstrass, Zurich",2024-05-25
Hotel Baslertor,CHF 139,"8.2
Scored 8.2",Very Good,546,Muttenz,2024-05-25
Conca Bella Boutique Hotel & Wine Experience,CHF 383,"8.5
Scored 8.5",Very Good,393,Vacallo,2024-05-25
Schäfli,CHF 82,"7.7
Scored 7.7",Good,676,Amden,2024-05-25
Hotel Uzwil,CHF 135,"8.8
Scored 8.8",Excellent,446,Uzwil,2024-05-25
Woodland Village Anzère,CHF 521,"8.9
Scored 8.9",Excellent,84,Ayent,2024-05-25
Mountain River Resort,CHF 142,"8.9
Scored 8.9",Excellent,482,Val-d'Illiez,2024-05-25
Hotel Restaurant zum goldenen Kopf,CHF 174,"8.6
Scored 8.6",Excellent,153,Bülach,2024-05-25
Schweizerhof,CHF 105,"8.2
Scored 8.2",Very Good,475,Mels,2024-05-25
Ruby Claire Hotel Geneva,CHF 171,"8.5
Scored 8.5",Very Good,"4,575","Downtown, Geneva",2024-05-25
Locanda Gandriese,CHF 98,"8.3
Scored 8.3",Very Good,323,Gandria,2024-05-25
L'ANGOLO DEI SAPORI,CHF 93,"8.2
Scored 8.2",Very Good,236,Rueun,2024-05-25
ibis budget Basel City,CHF 92,"7.5
Scored 7.5",Good,"8,243",Basel,2024-05-25
Hotel Garni Golf,CHF 208,"9.2
Scored 9.2",Wonderful,875,Ascona,2024-05-25
Adina Apartment Hotel Geneva,CHF 165,"9.1
Scored 9.1",Wonderful,524,Geneva,2024-05-25
ibis Zürich Messe Airport,CHF 134,"7.4
Scored 7.4",Good,"4,334","Oerlikon, Zurich",2024-05-25
Hotel Alpina,CHF 121,"8.9
Scored 8.9",Excellent,"1,241",Mürren,2024-05-25
Hotel Metropol,CHF 165,"8.1
Scored 8.1",Very Good,"1,024",St. Gallen,2024-05-25
The HEY HOTEL,CHF 237,"8.1
Scored 8.1",Very Good,"1,985","Central Interlaken, Interlaken",2024-05-25
"Chalet CARVE - Apartments EIGER, MOENCH and JUNGFRAU",CHF 685,"9.7
Scored 9.7",Exceptional,97,Grindelwald,2024-05-25
Basel Marriott Hotel,CHF 163,"8.6
Scored 8.6",Excellent,288,"Clara, Basel",2024-05-25
Hotel Landhaus Säntis Herisau,CHF 110,"8.4
Scored 8.4",Very Good,569,Herisau,2024-05-25
FIVE Zurich - Luxury City Resort,CHF 354,"8.7
Scored 8.7",Excellent,"2,517","Wiedikon, Zurich",2024-05-25
Hôtel des Vignes,CHF 174,"8.7
Scored 8.7",Excellent,666,Sion,2024-05-25
Eh!Toi Self Motel,CHF 132,"8.3
Scored 8.3",Very Good,589,Etoy,2024-05-25
Hotel Staubbach,CHF 173,"9.0
Scored 9.0",Wonderful,"1,658",Lauterbrunnen,2024-05-25
Hotel Europe,CHF 378,"8.3
Scored 8.3",Very Good,"1,149","Seefeld, Zurich",2024-05-25
Hotel Gasthaus Hirschen,CHF 110,"8.5
Scored 8.5",Very Good,571,Baden,2024-05-25
Hôtel Glanis,CHF 203,"8.6
Scored 8.6",Excellent,615,Gland,2024-05-25
Hotel Krone Unterstrass,CHF 165,"8.5
Scored 8.5",Very Good,"3,308","Unterstrass, Zurich",2024-05-25
Hotel one66 (free parking garage),CHF 105,"8.9
Scored 8.9",Excellent,"1,428",St. Gallen,2024-05-25
Tralala Hotel Montreux,CHF 158,"8.0
Scored 8.0",Very Good,"1,801",Montreux,2024-05-25
Boutique Hotel Schlossberg,CHF 205,"9.1
Scored 9.1",Wonderful,853,Thun,2024-05-25
Centre Loewenberg,CHF 98,"8.2
Scored 8.2",Very Good,253,Murten,2024-05-25
Autohalle Hotel,CHF 240,"9.4
Scored 9.4",Wonderful,454,Andelfingen,2024-05-25
Novotel Zurich City West,CHF 291,"8.1
Scored 8.1",Very Good,216,"Escher Wyss, Zurich",2024-05-25
Central City Hotel Rochat,CHF 208,"8.7
Scored 8.7",Excellent,"3,336","Old Town Grossbasel, Basel",2024-05-25
Boutique Hotel Josef,CHF 224,"8.0
Scored 8.0",Very Good,"2,922","Escher Wyss, Zurich",2024-05-25
Blümlisalp,CHF 115,"8.3
Scored 8.3",Very Good,479,Kandersteg,2024-05-25
Valbella Resort,CHF 194,"9.1
Scored 9.1",Wonderful,227,Lenzerheide,2024-05-25
Hotel Vadian Garni,CHF 139,"8.5
Scored 8.5",Very Good,"1,157",St. Gallen,2024-05-25
Novotel Basel City,CHF 152,"8.5
Scored 8.5",Very Good,"2,603",Basel,2024-05-25
Hotel Post Cunter Biancardi,CHF 94,"7.5
Scored 7.5",Good,381,Savognin,2024-05-25
citizenM Zürich,CHF 313,"8.5
Scored 8.5",Very Good,"3,308","Zurich Old Town - City Center, Zurich",2024-05-25
Hotel Seepark Thun,CHF 266,"8.1
Scored 8.1",Very Good,819,Thun,2024-05-25
Trip Inn Zurich Hotel,CHF 159,"7.5
Scored 7.5",Good,"3,380","Aussersihl, Zurich",2024-05-25
Hotel Garni Montaldi,CHF 199,"7.3
Scored 7.3",Good,"1,672","Muralto, Locarno",2024-05-25
Seilers Vintage Hotel & Spa,CHF 189,"8.5
Scored 8.5",Very Good,385,Kandersteg,2024-05-25
Hotel Bristol,CHF 342,"8.9
Scored 8.9",Excellent,"1,090","Saint-Gervais / des Grottes, Geneva",2024-05-25
Hotel Swiss Bellevue,CHF 116,"8.4
Scored 8.4",Very Good,742,Kreuzlingen,2024-05-25
Hotel De La Paix,CHF 198,"8.6
Scored 8.6",Excellent,"2,356","Lugano City-Centre, Lugano",2024-05-25
Regina Bed & Breakfast,CHF 113,"8.2
Scored 8.2",Very Good,386,Agno,2024-05-25
Beau Rivage Hotel,CHF 269,"8.6
Scored 8.6",Excellent,734,Neuchâtel,2024-05-25
Hotel Alpha Thun,CHF 139,"7.4
Scored 7.4",Good,"1,118",Thun,2024-05-25
Swiss Star Zurich Airport - Self Check-In,CHF 76,"6.7
Scored 6.7",Review score,"6,406",Kloten,2024-05-25
Hôtel Les Vieux Toits,CHF 133,"8.3
Scored 8.3",Very Good,798,Neuchâtel,2024-05-25
Hotel Krebs Interlaken,CHF 313,"8.4
Scored 8.4",Very Good,"1,455","Central Interlaken, Interlaken",2024-05-25
Hôtel du Chasseur,CHF 125,"8.6
Scored 8.6",Excellent,568,Enges,2024-05-25
Hotel Luzernerhof,CHF 227,"7.0
Scored 7.0",Good,930,"Old Town, Lucerne",2024-05-25
Lugano Superior Suites - Free Parking,CHF 326,"9.5
Scored 9.5",Exceptional,570,Lugano,2024-05-25
Geneva Marriott Hotel,CHF 284,"9.0
Scored 9.0",Wonderful,840,Geneva,2024-05-25
Mövenpick Hotel Basel,CHF 191,"8.7
Scored 8.7",Excellent,"1,409",Basel,2024-05-25
Hotel Blumenstein Self-Check In,CHF 112,"7.0
Scored 7.0",Good,291,Frauenfeld,2024-05-25
Hôtel Real Nyon by HappyCulture,CHF 183,"8.3
Scored 8.3",Very Good,474,Nyon,2024-05-25
Casa ViniToscani,CHF 168,"8.8
Scored 8.8",Excellent,395,Perroy,2024-05-25
Hotel Alfa,CHF 111,"7.6
Scored 7.6",Good,"1,795","Birsfelden, Basel",2024-05-25
Scarpapè,CHF 245,"9.6
Scored 9.6",Exceptional,236,Giubiasco,2024-05-25
Hotel City Locarno,CHF 163,"8.6
Scored 8.6",Excellent,"1,847",Locarno,2024-05-25
Hotel Restaurant Pizzeria Rotes Haus,CHF 81,"7.1
Scored 7.1",Good,361,Landschlacht Gemeinde Münsterlingen,2024-05-25
Carlton Lausanne Boutique Hôtel,CHF 280,"8.2
Scored 8.2",Very Good,"2,293",Lausanne,2024-05-25
Historisches Hotel Bären,CHF 167,"7.7
Scored 7.7",Good,938,Kiental,2024-05-25
Hotel Crystal Interlaken,CHF 110,"7.8
Scored 7.8",Good,"1,042","Central Interlaken, Interlaken",2024-05-25
Gasthof Enge,CHF 136,"8.2
Scored 8.2",Very Good,636,Solothurn,2024-05-25
Zurich Marriott Hotel,CHF 348,"7.8
Scored 7.8",Good,"1,692","Zurich Old Town - City Center, Zurich",2024-05-25
Hotel Ristorante Grotto Serta,CHF 125,"8.5
Scored 8.5",Very Good,467,Lamone,2024-05-25
Central Plaza,CHF 302,"8.1
Scored 8.1",Very Good,"2,938","Zurich Old Town - City Center, Zurich",2024-05-25
Sporthotel Victoria,CHF 199,"8.1
Scored 8.1",Very Good,386,Gstaad,2024-05-25
Hotel Belvedere Locarno,CHF 268,"8.9
Scored 8.9",Excellent,"1,092",Locarno,2024-05-25
Osteria Ascona,CHF 118,"8.0
Scored 8.0",Very Good,470,Ascona,2024-05-25
Davos Youth Hostel,CHF 60,"8.3
Scored 8.3",Very Good,556,Davos,2024-05-25
ibis budget Fribourg,CHF 96,"7.5
Scored 7.5",Good,"2,578",Fribourg,2024-05-25
Hotel Residence Loren - contact & contactless check-in,CHF 171,"7.5
Scored 7.5",Good,370,Uster,2024-05-25
Résidence Castel Club Leysin Parc,CHF 130,"8.3
Scored 8.3",Very Good,491,Leysin,2024-05-25
KONCEPT HOTEL Löie,CHF 172,"7.7
Scored 7.7",Good,"1,044",Münsingen,2024-05-25
Hotel ZERMAMA Zermatt,CHF 287,"9.1
Scored 9.1",Wonderful,650,Zermatt,2024-05-25
La Maisonnette,CHF 173,"9.5
Scored 9.5",Exceptional,80,Travers,2024-05-25
Hilton Geneva Hotel and Conference Centre,CHF 216,"8.0
Scored 8.0",Very Good,"2,216",Geneva,2024-05-25
Hotel la Palma au Lac,CHF 274,"8.6
Scored 8.6",Excellent,"1,749","Muralto, Locarno",2024-05-25
Soldanella,CHF 137,"8.7
Scored 8.7",Excellent,"2,045",St. Moritz,2024-05-25
Hotel Gabbani,CHF 291,"8.4
Scored 8.4",Very Good,952,"Lugano City-Centre, Lugano",2024-05-25
Hotel de la Gare,CHF 173,"8.0
Scored 8.0",Very Good,473,Sugiez,2024-05-25
Lugano Suites,CHF 236,"8.6
Scored 8.6",Excellent,511,Gravesano,2024-05-25
Hotel Engel,CHF 160,"9.0
Scored 9.0",Wonderful,803,Stans,2024-05-25
Boutique Hôtel de l'Ecu Vaudois,CHF 192,"9.1
Scored 9.1",Wonderful,237,Begnins,2024-05-25
IntercityHotel Zürich Airport,CHF 131,"8.2
Scored 8.2",Very Good,"1,996",Rümlang,2024-05-25
Design Hotel f6,CHF 222,"8.2
Scored 8.2",Very Good,"2,120","Paquis, Geneva",2024-05-25
Motel Rheinfels Park,CHF 100,"7.8
Scored 7.8",Good,382,Stein,2024-05-25
B&B ALLA PIAZZETTA DI TEGNA,CHF 205,"9.1
Scored 9.1",Wonderful,67,Tegna,2024-05-25
ibis budget Hotel Luzern City,CHF 215,"7.1
Scored 7.1",Good,"7,853",Lucerne,2024-05-25
Gast - und Kulturhaus Der Teufelhof Basel,CHF 188,"8.9
Scored 8.9",Excellent,"1,803","Vorstädte, Basel",2024-05-25
N’vY Manotel,CHF 244,"8.3
Scored 8.3",Very Good,"3,377","Paquis, Geneva",2024-05-25
Hotel-Restaurant Seegarten-Marina,CHF 144,"8.2
Scored 8.2",Very Good,"1,049",Spiez,2024-05-25
Appart'City Collection Genève Aéroport - Vernier,CHF 135,"8.9
Scored 8.9",Excellent,"1,695",Geneva,2024-05-25
H+ Hotel Zürich,CHF 247,"8.3
Scored 8.3",Very Good,"7,188","Altstetten, Zurich",2024-05-25
Chez Dodo 2534 Orvin Le Foncet,CHF 116,"8.7
Scored 8.7",Excellent,283,Evilard,2024-05-25
Magic Moments,CHF 163,"9.4
Scored 9.4",Wonderful,111,Brail,2024-05-25
Eastwest Hôtel,CHF 306,"8.7
Scored 8.7",Excellent,737,"Paquis, Geneva",2024-05-25
Zermatt Budget Rooms,CHF 253,"9.4
Scored 9.4",Wonderful,574,Zermatt,2024-05-25
Hotel Krone,CHF 130,"8.1
Scored 8.1",Very Good,"1,879",Buochs,2024-05-25
Boutique Hotel Beau-Séjour & Spa Superior,CHF 203,"9.1
Scored 9.1",Wonderful,260,Champéry,2024-05-25
Arenas Resort Victoria-Lauberhorn,CHF 228,"8.2
Scored 8.2",Very Good,"1,741",Wengen,2024-05-25
Gästehaus Schäfli,CHF 80,"8.1
Scored 8.1",Very Good,"1,279",Intschi,2024-05-25
Herisau Swiss Quality Hotel,CHF 144,"8.5
Scored 8.5",Very Good,402,Herisau,2024-05-25
Boutique Hotel de la Croix-Fédérale,CHF 229,"8.0
Scored 8.0",Very Good,464,Leukerbad,2024-05-25
Placid Hotel Design & Lifestyle Zurich,CHF 148,"8.3
Scored 8.3",Very Good,"3,047","Altstetten, Zurich",2024-05-25
Schweizerhof Zermatt - a Small Luxury Hotel,CHF 374,"9.0
Scored 9.0",Wonderful,765,"City Centre, Zermatt",2024-05-25
Engelberg Youth Hostel,CHF 50,"8.2
Scored 8.2",Very Good,219,Engelberg,2024-05-25
Boutique Hotel & Restaurant Bären Ringgenberg,CHF 86,"7.7
Scored 7.7",Good,933,Ringgenberg,2024-05-25
Hotel Restaurant Resslirytti,CHF 170,"8.4
Scored 8.4",Very Good,"1,915","Basel City Centre, Basel",2024-05-25
Hotel Montbrillant,CHF 157,"7.6
Scored 7.6",Good,"2,056","Saint-Gervais / des Grottes, Geneva",2024-05-25
Basel Youth Hostel,CHF 64,"8.5
Scored 8.5",Very Good,"1,432","Vorstädte, Basel",2024-05-25
Good Night Inn,CHF 89,"8.1
Scored 8.1",Very Good,"2,230",Brig,2024-05-25
Ristorante Del Ponte,CHF 93,"7.4
Scored 7.4",Good,465,Cugnasco,2024-05-25
"Holiday Inn Zürich Messe, an IHG Hotel",CHF 174,"8.0
Scored 8.0",Very Good,"2,635","Oerlikon, Zurich",2024-05-25
Badehotel Salina Maris – Wellness & Vintage,CHF 184,"7.7
Scored 7.7",Good,400,Mörel,2024-05-25
Hotel Tobler,CHF 231,"8.5
Scored 8.5",Very Good,789,Ascona,2024-05-25
Berghof Erlebnis AG,CHF 101,"9.1
Scored 9.1",Wonderful,91,Pfaffnau,2024-05-25
Mercure Zürich City,CHF 177,"8.2
Scored 8.2",Very Good,"5,797","Altstetten, Zurich",2024-05-25
Pullman Basel Europe,CHF 157,"8.7
Scored 8.7",Excellent,"1,308","Clara, Basel",2024-05-25
Romantik Hotel Landhaus Liebefeld,CHF 203,"8.8
Scored 8.8",Excellent,263,Bern,2024-05-25
Zak Neuhausen,CHF 112,"7.2
Scored 7.2",Good,577,Neuhausen am Rheinfall,2024-05-25
Hotel Landhaus,CHF 87,"9.0
Scored 9.0",Wonderful,420,Münster,2024-05-25
Hôtel de la Paix Lausanne,CHF 271,"8.4
Scored 8.4",Very Good,"1,874","Lausanne Center, Lausanne",2024-05-25
Deltapark Vitalresort****,CHF 320,"9.0
Scored 9.0",Wonderful,816,"Gwatt, Thun",2024-05-25
Hotel Bahnhof,CHF 74,"8.7
Scored 8.7",Excellent,"2,497","City Centre, Zermatt",2024-05-25
"Villa Sassa Hotel, Residence & Spa - Ticino Hotels Group",CHF 270,"8.1
Scored 8.1",Very Good,"1,491",Lugano,2024-05-25
Chalet Suisse Bed and Breakfast,CHF 135,"8.2
Scored 8.2",Very Good,347,Morgins,2024-05-25
Hôtel de charme la Poste,CHF 153,"8.2
Scored 8.2",Very Good,293,Anzère,2024-05-25
Charme Hotel al Torchio,CHF 250,"9.0
Scored 9.0",Wonderful,828,Ascona,2024-05-25
Immeuble Horizon,CHF 193,"8.7
Scored 8.7",Excellent,65,Les Collons,2024-05-25
Castle view,CHF 104,"7.5
Scored 7.5",Good,108,Veytaux,2024-05-25
Hotel Metzgern,CHF 192,"8.2
Scored 8.2",Very Good,453,Sarnen,2024-05-25
Historic Hotel du Pillon,CHF 237,"9.3
Scored 9.3",Wonderful,361,Les Diablerets,2024-05-25
H+ Hotel & SPA Engelberg,CHF 250,"8.0
Scored 8.0",Very Good,"3,653",Engelberg,2024-05-25
Best Western Hotel Rebstock,CHF 139,"8.8
Scored 8.8",Excellent,"1,705",Rorschacherberg,2024-05-25
Tertianum Residenza Al Lido - Appartements & Restaurant,CHF 205,"8.4
Scored 8.4",Very Good,537,Locarno,2024-05-25
ibis budget Basel Pratteln,CHF 89,"7.0
Scored 7.0",Good,"2,243",Pratteln,2024-05-25
25hours Hotel Zürich West,CHF 199,"8.6
Scored 8.6",Excellent,"1,565","Escher Wyss, Zurich",2024-05-25
Hotel Wildbach Brienz,CHF 223,"8.7
Scored 8.7",Excellent,127,Brienz,2024-05-25
Hotel Spinne Grindelwald,CHF 170,"8.7
Scored 8.7",Excellent,"1,695",Grindelwald,2024-05-25
Hotel Olympica,CHF 93,"7.9
Scored 7.9",Good,647,Brig,2024-05-25
Hôtel du Port - Free Parking - Breakfast included,CHF 130,"8.1
Scored 8.1",Very Good,495,Estavayer-le-Lac,2024-05-25
Dialoghotel Eckstein,CHF 179,"7.7
Scored 7.7",Good,413,"Baar, Zug",2024-05-25
"Auberge des Charmettes, chez Chantal et Yves",CHF 92,"7.7
Scored 7.7",Good,176,Bourg-Saint-Pierre,2024-05-25
Hotel Krone Churwalden 3 Sterne Superior,CHF 170,"9.1
Scored 9.1",Wonderful,672,Churwalden,2024-05-25
Central Swiss Quality Sporthotel,CHF 123,"8.2
Scored 8.2",Very Good,671,Davos,2024-05-25
NEW OPENING 2022 - Los Lorentes Hotel Bern City,CHF 131,"8.4
Scored 8.4",Very Good,"1,580","Mattenhof-Weissenbühl, Bern",2024-05-25
B&B HOTEL Nyon,CHF 112,"8.3
Scored 8.3",Very Good,"1,450",Nyon,2024-05-25
City-Hotel Ochsen,CHF 199,"8.6
Scored 8.6",Excellent,284,Zug,2024-05-25
Al Grottino,CHF 96,"8.2
Scored 8.2",Very Good,237,Gambarogno,2024-05-25
Garden Hotel Primavera,CHF 168,"8.0
Scored 8.0",Very Good,537,Brissago,2024-05-25
Swiss Lodge Nassa Garni,CHF 165,"8.1
Scored 8.1",Very Good,"2,600","Lugano City-Centre, Lugano",2024-05-25
Hotel La Pergola,CHF 148,"8.1
Scored 8.1",Very Good,"1,797","Mattenhof-Weissenbühl, Bern",2024-05-25
Modern apartment in Lugano,CHF 225,"8.4
Scored 8.4",Very Good,"1,835",Lugano,2024-05-25
CIP Hôtel,CHF 125,"8.3
Scored 8.3",Very Good,367,Tramelan,2024-05-25
Chalet des Alpes,CHF 173,"8.9
Scored 8.9",Excellent,463,Crans-Montana,2024-05-25
Fleur de Lis,CHF 139,"8.9
Scored 8.9",Excellent,414,Le Locle,2024-05-25
Swiss Holiday Park Resort,CHF 153,"8.1
Scored 8.1",Very Good,"2,209",Morschach,2024-05-25
ibis budget Zurich Airport,CHF 97,"7.5
Scored 7.5",Good,"9,070",Glattbrugg,2024-05-25
Hotel Soazza,CHF 132,"9.0
Scored 9.0",Wonderful,202,Soazza,2024-05-25
Boutique City Hotel Gallo,CHF 154,"8.9
Scored 8.9",Excellent,"1,203",St. Gallen,2024-05-25
Green Marmot Capsule Hotel Zürich,CHF 69,"7.4
Scored 7.4",Good,"5,195","Zurich Old Town - City Center, Zurich",2024-05-25
SET Hotel.Residence by Teufelhof Basel,CHF 306,"8.9
Scored 8.9",Excellent,"1,031","Vorstädte, Basel",2024-05-25
Lausanne Youth Hostel Jeunotel,CHF 67,"7.4
Scored 7.4",Good,"1,743",Lausanne,2024-05-25
Camping Jungfrau,CHF 121,"8.8
Scored 8.8",Excellent,799,Lauterbrunnen,2024-05-25
MEININGER Hotel Genève Centre Charmilles,CHF 55,"8.3
Scored 8.3",Very Good,"4,915","Saint-Jean and Charmilles, Geneva",2024-05-25
Baxter Hotel,CHF 135,"8.8
Scored 8.8",Excellent,"1,494",Visp,2024-05-25
Hôtel du Port,CHF 160,"8.1
Scored 8.1",Very Good,578,Villeneuve,2024-05-25
Sorell Hotel Zürichberg,CHF 257,"8.7
Scored 8.7",Excellent,"2,298","Zürichberg, Zurich",2024-05-25
Hotel Spatz,CHF 228,"8.2
Scored 8.2",Very Good,"1,391",Lucerne,2024-05-25
Marmont Hotel,CHF 261,"8.1
Scored 8.1",Very Good,786,"Downtown, Geneva",2024-05-25
Home Hotel Arosa,CHF 120,"8.5
Scored 8.5",Very Good,437,Arosa,2024-05-25
Best Western Plus Hotel Zürcherhof,CHF 251,"8.5
Scored 8.5",Very Good,"2,944","Zurich Old Town - City Center, Zurich",2024-05-25
76 The Lake House - Lugano,CHF 392,"8.9
Scored 8.9",Excellent,215,Melide,2024-05-25
ABC Swiss Quality Hotel,CHF 198,"9.0
Scored 9.0",Wonderful,"1,578",Chur,2024-05-25
Hotel Hemizeus & Iremia Spa,CHF 253,"8.9
Scored 8.9",Excellent,374,Zermatt,2024-05-25
Zurich Youth Hostel,CHF 61,"8.2
Scored 8.2",Very Good,"3,187","Wollishofen, Zurich",2024-05-25
Hotel Bernina Geneva,CHF 151,"8.7
Scored 8.7",Excellent,"3,271","Saint-Gervais / des Grottes, Geneva",2024-05-25
Sky Design Motel,CHF 119,"9.0
Scored 9.0",Wonderful,364,Kriessern,2024-05-25
Aarauerhof - Self Check-in,CHF 111,"6.6
Scored 6.6",Review score,"1,486",Aarau,2024-05-25
Les Soldanelles,CHF 95,"9.1
Scored 9.1",Wonderful,134,Salvan,2024-05-25
Lake Geneva Hotel,CHF 174,"8.2
Scored 8.2",Very Good,"1,749",Versoix,2024-05-25
Les Moucherons,CHF 189,"8.6
Scored 8.6",Excellent,251,Avenches,2024-05-25
NH Geneva City,CHF 174,"8.1
Scored 8.1",Very Good,"1,827","Saint-Gervais / des Grottes, Geneva",2024-05-25
Hotel Stille,CHF 168,"8.2
Scored 8.2",Very Good,343,St. Moritz,2024-05-25
Parkhotel Brenscino Brissago,CHF 473,"8.3
Scored 8.3",Very Good,493,Brissago,2024-05-25
Locarno Youth Hostel,CHF 67,"8.0
Scored 8.0",Very Good,595,Locarno,2024-05-25
Hotel Fravi,CHF 170,"8.7
Scored 8.7",Excellent,374,Andeer,2024-05-25
Hotel Bergidyll - Riders Haven,CHF 152,"8.1
Scored 8.1",Very Good,46,Andermatt,2024-05-25
Hotel Goldener Stern - contactless check-in,CHF 429,"8.6
Scored 8.6",Excellent,52,"Old Town, Lucerne",2024-05-25
Hotel Admiral,CHF 146,"7.1
Scored 7.1",Good,"2,115","Paquis, Geneva",2024-05-25
Hotel Traube,CHF 165,"8.4
Scored 8.4",Very Good,318,Scuol,2024-05-25
Hotel San Bernardo,CHF 310,"8.7
Scored 8.7",Excellent,266,Contra,2024-05-25
Hotel Rheinfall,CHF 104,"8.0
Scored 8.0",Very Good,51,Neuhausen am Rheinfall,2024-05-25
Elegant Apartments in Lugano,CHF 204,"9.4
Scored 9.4",Wonderful,45,Lugano,2024-05-25
Hotel della Posta,CHF 86,"7.1
Scored 7.1",Good,698,Biasca,2024-05-25
Lo Scudo di Stabio,CHF 150,"8.9
Scored 8.9",Excellent,79,Stabio,2024-05-25
Novotel Lausanne Bussigny,CHF 159,"8.0
Scored 8.0",Very Good,"2,061","Bussigny-pres-Lausanne, Lausanne",2024-05-25
Hotel Restaurant La Porte d'Octodure,CHF 109,"7.8
Scored 7.8",Good,742,Martigny-Ville,2024-05-25
Hotel Geranio Au Lac,CHF 146,"8.4
Scored 8.4",Very Good,"1,042","Muralto, Locarno",2024-05-25
Hotel Haltenegg,CHF 100,"7.5
Scored 7.5",Good,185,Heiligenschwendi,2024-05-25
Boutique Hotel Seidenhof,CHF 285,"8.9
Scored 8.9",Excellent,"1,576","Zurich Old Town - City Center, Zurich",2024-05-25
Sorell Hotel Rütli,CHF 264,"8.2
Scored 8.2",Very Good,"2,334","Zurich Old Town - City Center, Zurich",2024-05-25
Hôtel du Grand-Pré,CHF 113,"7.8
Scored 7.8",Good,379,Marly-le-Grand,2024-05-25
"Cosy Studio for 5 near ski lift, Les Gentianes",CHF 177,"8.1
Scored 8.1",Very Good,31,Les Collons,2024-05-25
MEININGER Hotel Zürich Greencity,CHF 56,"8.0
Scored 8.0",Very Good,"6,236","Wollishofen, Zurich",2024-05-25
Hotel Splendide Royal,CHF 383,"8.7
Scored 8.7",Excellent,"1,346","Lugano City-Centre, Lugano",2024-05-25
Schlosshotel - Self Check-In Hotel,CHF 92,"8.0
Scored 8.0",Very Good,"2,307",Brig,2024-05-25
Hotel Gletscherblick Grindelwald,CHF 143,"8.9
Scored 8.9",Excellent,"1,772",Grindelwald,2024-05-25
LES TOURISTES,CHF 129,"8.8
Scored 8.8",Excellent,125,Le Chatelard,2024-05-25
Hotel Europe Brig,CHF 94,"7.9
Scored 7.9",Good,"1,091",Brig,2024-05-25
Hotel Rio Garni,CHF 138,"8.5
Scored 8.5",Very Good,"1,072","Muralto, Locarno",2024-05-25
ibis Delémont,CHF 140,"8.3
Scored 8.3",Very Good,"1,229",Delémont,2024-05-25
Hotel Rössli,CHF 403,"8.4
Scored 8.4",Very Good,"1,294","Zurich Old Town - City Center, Zurich",2024-05-25
Hotel Piz St. Moritz,CHF 368,"7.8
Scored 7.8",Good,"1,844",St. Moritz,2024-05-25
rocksresort,CHF 369,"8.8
Scored 8.8",Excellent,448,Laax,2024-05-25
Hotel Adler Zürich,CHF 238,"8.8
Scored 8.8",Excellent,"2,366","Zurich Old Town - City Center, Zurich",2024-05-25
Hotel Victoria,CHF 102,"8.0
Scored 8.0",Very Good,947,Brig,2024-05-25
Yeti Lodge,CHF 189,"9.6
Scored 9.6",Exceptional,21,Sedrun,2024-05-25
Hotel Walliserhof Zermatt,CHF 434,"8.9
Scored 8.9",Excellent,"1,670","City Centre, Zermatt",2024-05-25
Glärnischhof by TRINITY,CHF 325,"8.1
Scored 8.1",Very Good,"4,913","Enge, Zurich",2024-05-25
Hotel Crusch Alba Zernez,CHF 180,"9.1
Scored 9.1",Wonderful,"1,045",Zernez,2024-05-25
Berghotel Chäserstatt,CHF 414,"9.0
Scored 9.0",Wonderful,267,Ernen,2024-05-25
Hotel Eastside (free parking garage),CHF 124,"8.6
Scored 8.6",Excellent,"1,140",St. Gallen,2024-05-25
Hotel Schweizerhof Sta Maria,CHF 125,"7.9
Scored 7.9",Good,261,Santa Maria Val Müstair,2024-05-25
